,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
965,berlin-hotel-199430-review-6.json_0,Stayed in this hotel over New Year for the past 2 years.,0.0,stayed in this hotel over new year for the past years,53,stayed in this hotel over new year for the past years,stayed hotel new year past years,6
967,berlin-hotel-199430-review-6.json_2,Ideally located and a comfortable hotel.,0.0,ideally located and comfortable hotel,37,ideally located and comfortable hotel,ideally located comfortable hotel,4
968,berlin-hotel-199430-review-6.json_3,"Yes, breakfast is a little busy, but come on folks, be patient!",0.0,yes breakfast is little busy but come on folks be patient,57,yes breakfast is little busy but come on folks be patient,yes breakfast little busy come folks patient,7
969,berlin-hotel-199430-review-6.json_4,What do some people want!,0.0,what do some people want,24,what do some people want,people want,2
970,berlin-hotel-199430-review-6.json_5,The food was great and always plentiful and was replenished regualrly.,0.0,the food was great and always plentiful and was replenished regualrly,69,the food was great and always plentiful and was replenished regualrly,food great always plentiful replenished regualrly,6
971,berlin-hotel-199430-review-6.json_6,The rooms had modern decor and were far more than adequate.,0.0,the rooms had modern decor and were far more than adequate,58,the rooms had modern decor and were far more than adequate,rooms modern decor far adequate,5
972,berlin-hotel-199430-review-6.json_7,"We got great deals on both occasions, and could not complain for the price.",0.0,we got great deals on both occasions and could not complain for the price,73,we got great deals on both occasions and could not complain for the price,got great deals occasions could complain price,7
973,berlin-hotel-199430-review-6.json_8,It is ideally placed to tour Berlin from.,0.0,it is ideally placed to tour berlin from,40,it is ideally placed to tour berlin from,ideally placed tour berlin,4
974,berlin-hotel-199430-review-6.json_9,The tour bus goes from the end of the street and is close to Zoo Station.,0.0,the tour bus goes from the end of the street and is close to zoo station,72,the tour bus goes from the end of the street and is close to zoo station,tour bus goes end street close zoo station,8
975,berlin-hotel-199430-review-6.json_10,"The nearby restaurants were excellent,",0.0,the nearby restaurants were excellent,37,the nearby restaurants were excellent,nearby restaurants excellent,3
976,berlin-hotel-199430-review-6.json_11,"the one almost opposite -called the Meineke I believe, was good, but we also enjoyed the small restaurant, which you would probably mistake for a bar on the same side as the hotel at the top of the street as you head ",,the one almost opposite called the meineke believe was good but we also enjoyed the small restaurant which you would probably mistake for bar on the same side as the hotel at the top of the street as you head,208,the one almost opposite called the meineke believe was good but we also enjoyed the small restaurant which you would probably mistake for bar on the same side as the hotel at the top of the street as you head,one almost opposite called meineke believe good also enjoyed small restaurant would probably mistake bar side hotel top street head,20
977,berlin-hotel-199430-review-6.json_12,Berlin is a top city and highly recommended for New Year!,1.0,berlin is top city and highly recommended for new year,54,berlin is top city and highly recommended for new year,berlin top city highly recommended new year,7
978,berlin-hotel-199430-review-6.json_13,Try out a trabi safari - it is great fun - especially in 3ft of snow in a car with no heating......................,1.0,try out trabi safari it is great fun especially in of snow in car with no heating,81,try out trabi safari it is great fun especially in of snow in car with no heating,try trabi safari great fun especially snow car heating,9
979,berlin-hotel-199430-review-6.json_14,or brakes come to think of it!!,0.0,or brakes come to think of it,29,or brakes come to think of it,brakes come think,3
980,berlin-hotel-199430-review-7.json_0,"I have just returned from a weekend in Berlin, where I stayed at the Berlin Mark Hotel.",0.0,have just returned from weekend in berlin where stayed at the berlin mark hotel,79,have just returned from weekend in berlin where stayed at the berlin mark hotel,returned weekend berlin stayed berlin mark hotel,7
981,berlin-hotel-199430-review-7.json_1,"The best thing about this hotel is the location: around the corner from the Kurfurstendam, in central Berlin, and close to lots of public transport.",0.0,the best thing about this hotel is the location around the corner from the kurfurstendam in central berlin and close to lots of public transport,144,the best thing about this hotel is the location around the corner from the kurfurstendam in central berlin and close to lots of public transport,best thing hotel location around corner kurfurstendam central berlin close lots public transport,13
982,berlin-hotel-199430-review-7.json_2,"Also, getting taxis from hotel never took more than 3 minutes when the hotel called, which was rather impressive.",0.0,also getting taxis from hotel never took more than minutes when the hotel called which was rather impressive,108,also getting taxis from hotel never took more than minutes when the hotel called which was rather impressive,also getting taxis hotel never took minutes hotel called rather impressive,11
983,berlin-hotel-199430-review-7.json_3,The hotel is very basic,0.0,the hotel is very basic,23,the hotel is very basic,hotel basic,2
984,berlin-hotel-199430-review-7.json_4,and the room I was given had a single bed (I haven't seen this in hotels for years!) and was smaller than most student accommodation I have seen!,0.0,and the room was given had single bed haven't seen this in hotels for years and was smaller than most student accommodation have seen,133,and the room was given had single bed havent seen this in hotels for years and was smaller than most student accommodation have seen,room given single bed havent seen hotels years smaller student accommodation seen,12
985,berlin-hotel-199430-review-7.json_5,The room was extremely basic and the bed,0.0,the room was extremely basic and the bed,40,the room was extremely basic and the bed,room extremely basic bed,4
986,berlin-hotel-199430-review-7.json_6,"and pillow were far too soft, which made me have a terrible time sleeping.",0.0,and pillow were far too soft which made me have terrible time sleeping,70,and pillow were far too soft which made me have terrible time sleeping,pillow far soft made terrible time sleeping,7
987,berlin-hotel-199430-review-7.json_7,I was also given a smoking room.,0.0,was also given smoking room,27,was also given smoking room,also given smoking room,4
988,berlin-hotel-199430-review-7.json_8,"I don't recall Expedia (with whom I booked) asking if I wanted a smoking or non-smoking room, so I felt I didn't have arguments to change.",0.0,don't recall expedia with whom booked asking if wanted smoking or non-smoking room so felt didn't have arguments to change,122,dont recall expedia with whom booked asking if wanted smoking or nonsmoking room so felt didnt have arguments to change,dont recall expedia booked asking wanted smoking nonsmoking room felt didnt arguments change,13
989,berlin-hotel-199430-review-7.json_9,When I asked for a non-smoking room I was told they were fully booked and I couldn't change.,0.0,when asked for non-smoking room was told they were fully booked and couldn't change,83,when asked for nonsmoking room was told they were fully booked and couldnt change,asked nonsmoking room told fully booked couldnt change,8
990,berlin-hotel-199430-review-7.json_10,"Fair enough, but I think there is only one floor in the whole building (of 7 floors) that is non-smoking, so be aware of that when booking.",0.0,fair enough but think there is only one floor in the whole building of floors that is non-smoking so be aware of that when booking,130,fair enough but think there is only one floor in the whole building of floors that is nonsmoking so be aware of that when booking,fair enough think one floor whole building floors nonsmoking aware booking,11
991,berlin-hotel-199430-review-7.json_11,The staff are helpful and nice,0.0,the staff are helpful and nice,30,the staff are helpful and nice,staff helpful nice,3
992,berlin-hotel-199430-review-7.json_12,but the whole place is in serious need of a refurbishment.,1.0,but the whole place is in serious need of refurbishment,55,but the whole place is in serious need of refurbishment,whole place serious need refurbishment,5
993,berlin-hotel-199430-review-7.json_13,The decor is very early 80s with some nauseating bright green everywhere...,0.0,the decor is very early with some nauseating bright green everywhere,68,the decor is very early with some nauseating bright green everywhere,decor early nauseating bright green everywhere,6
994,berlin-hotel-199430-review-7.json_14,"It was also strange to be handed a key, rather than a card for the room,",0.0,it was also strange to be handed key rather than card for the room,66,it was also strange to be handed key rather than card for the room,also strange handed key rather card room,7
995,berlin-hotel-199430-review-7.json_15,but I suppose that is just me.,0.0,but suppose that is just me,27,but suppose that is just me,suppose,1
996,berlin-hotel-199430-review-7.json_16,Brekfast is plentiful but very basic.,0.0,brekfast is plentiful but very basic,36,brekfast is plentiful but very basic,brekfast plentiful basic,3
997,berlin-hotel-199430-review-7.json_17,Beware of smoking areas for people having breakfast that are very close to non-smoking.,1.0,beware of smoking areas for people having breakfast that are very close to non-smoking,86,beware of smoking areas for people having breakfast that are very close to nonsmoking,beware smoking areas people breakfast close nonsmoking,7
998,berlin-hotel-199430-review-7.json_18,"In fact, the hotel reeked of cigarettes.",0.0,in fact the hotel reeked of cigarettes,38,in fact the hotel reeked of cigarettes,fact hotel reeked cigarettes,4
999,berlin-hotel-199430-review-7.json_19,"In other words, if you don't mind the comfort of your bed and if you are a smoker, you will love it!",0.0,in other words if you don't mind the comfort of your bed and if you are smoker you will love it,95,in other words if you dont mind the comfort of your bed and if you are smoker you will love it,words dont mind comfort bed smoker love,7
1000,berlin-hotel-199430-review-7.json_20,"If not, stay away.",0.0,if not stay away,16,if not stay away,stay away,2
1001,berlin-hotel-199430-review-7.json_21,There are plenty of hotels to choose from in the area.,0.0,there are plenty of hotels to choose from in the area,53,there are plenty of hotels to choose from in the area,plenty hotels choose area,4
1002,berlin-hotel-199430-review-8.json_0,Very upset with this hotel.,0.0,very upset with this hotel,26,very upset with this hotel,upset hotel,2
1003,berlin-hotel-199430-review-8.json_1,We had booked as part of a group for three nights from Thursday,0.0,we had booked as part of group for three nights from thursday,61,we had booked as part of group for three nights from thursday,booked part group three nights thursday,6
1004,berlin-hotel-199430-review-8.json_2,and then booked an extra night for the Wednesday night via Expedia.,0.0,and then booked an extra night for the wednesday night via expedia,66,and then booked an extra night for the wednesday night via expedia,booked extra night wednesday night via expedia,7
1005,berlin-hotel-199430-review-8.json_3,Although this was advertised,0.0,although this was advertised,28,although this was advertised,although advertised,2
1006,berlin-hotel-199430-review-8.json_4,and showed photogaphs of the Berlin Mark on Meineke Strasse we found this not to be the case AFTER we had arrived at the hotel,0.0,and showed photogaphs of the berlin mark on meineke strasse we found this not to be the case after we had arrived at the hotel,126,and showed photogaphs of the berlin mark on meineke strasse we found this not to be the case after we had arrived at the hotel,showed photogaphs berlin mark meineke strasse found case arrived hotel,10
1007,berlin-hotel-199430-review-8.json_5,"and the receptionist simply looked up the reservation in her system, pointed to the crossroads and informed us that the hotel we were staying in was around the corner and four minutes away.",0.0,and the receptionist simply looked up the reservation in her system pointed to the crossroads and informed us that the hotel we were staying in was around the corner and four minutes away,187,and the receptionist simply looked up the reservation in her system pointed to the crossroads and informed us that the hotel we were staying in was around the corner and four minutes away,receptionist simply looked reservation system pointed crossroads informed us hotel staying around corner four minutes away,16
1008,berlin-hotel-199430-review-8.json_6,"No map, no directions and no further offer of assistance.",0.0,no map no directions and no further offer of assistance,55,no map no directions and no further offer of assistance,map directions offer assistance,4
1009,berlin-hotel-199430-review-8.json_7,We went to visit the hotel to find that it was a converted apartment block in a rather seedy part of a very busy road.,0.0,we went to visit the hotel to find that it was converted apartment block in rather seedy part of very busy road,111,we went to visit the hotel to find that it was converted apartment block in rather seedy part of very busy road,went visit hotel find converted apartment block rather seedy part busy road,12
1010,berlin-hotel-199430-review-8.json_8,"No Bar, a makeshift breakfast room.",0.0,no bar makeshift breakfast room,31,no bar makeshift breakfast room,bar makeshift breakfast room,4
1011,berlin-hotel-199430-review-8.json_9,No restaurant and a basic bedroom which was large but a rather dirty and poorly decorated bathroom.,0.0,no restaurant and basic bedroom which was large but rather dirty and poorly decorated bathroom,94,no restaurant and basic bedroom which was large but rather dirty and poorly decorated bathroom,restaurant basic bedroom large rather dirty poorly decorated bathroom,9
1012,berlin-hotel-199430-review-8.json_10,We retrurned to the Berlin Mark Hotel on Meineke Strasse to plead our case that we we were under the impression that we had booked that hotel and wanted to be there for the four nights,0.0,we retrurned to the berlin mark hotel on meineke strasse to plead our case that we we were under the impression that we had booked that hotel and wanted to be there for the four nights,184,we retrurned to the berlin mark hotel on meineke strasse to plead our case that we we were under the impression that we had booked that hotel and wanted to be there for the four nights,retrurned berlin mark hotel meineke strasse plead case impression booked hotel wanted four nights,14
1013,berlin-hotel-199430-review-8.json_11,and not have to change the following day as our friends were due to arrive the next day.,0.0,and not have to change the following day as our friends were due to arrive the next day,87,and not have to change the following day as our friends were due to arrive the next day,change following day friends due arrive next day,8
1014,berlin-hotel-199430-review-8.json_12,"Suddenly, the receptionist found a reservation for us which means that they had expected us all along and was about to check us into that hotel when she realised that her colleague had sent us off to another property.",,suddenly the receptionist found reservation for us which means that they had expected us all along and was about to check us into that hotel when she realised that her colleague had sent us off to another property,213,suddenly the receptionist found reservation for us which means that they had expected us all along and was about to check us into that hotel when she realised that her colleague had sent us off to another property,suddenly receptionist found reservation us means expected us along check us hotel realised colleague sent us another property,18
1015,berlin-hotel-199430-review-8.json_13,In fact BOTH receptionists on Thursday afternoon were very surly and discourteous,0.0,in fact both receptionists on thursday afternoon were very surly and discourteous,81,in fact both receptionists on thursday afternoon were very surly and discourteous,fact receptionists thursday afternoon surly discourteous,6
1016,berlin-hotel-199430-review-8.json_14,and even after me asking if I could speak with somebody else and being TOLD to take a seat in the bar as it would take a,0.0,and even after me asking if could speak with somebody else and being told to take seat in the bar as it would take,114,and even after me asking if could speak with somebody else and being told to take seat in the bar as it would take,even asking could speak somebody else told take seat bar would take,12
1017,berlin-hotel-199430-review-8.json_15,"while before someone could see us,",0.0,while before someone could see us,33,while before someone could see us,someone could see us,4
1018,berlin-hotel-199430-review-8.json_16,we were left waiting until I had to go back to the empty desk to see if somebody could talk to us.,0.0,we were left waiting until had to go back to the empty desk to see if somebody could talk to us,95,we were left waiting until had to go back to the empty desk to see if somebody could talk to us,left waiting go back empty desk see somebody could talk us,11
1019,berlin-hotel-199430-review-8.json_17,"All I could be told was that as I had booked through Expedia,",0.0,all could be told was that as had booked through expedia,56,all could be told was that as had booked through expedia,could told booked expedia,4
1020,berlin-hotel-199430-review-8.json_18,there was nothing they could do.,0.0,there was nothing they could do,31,there was nothing they could do,nothing could,2
1021,berlin-hotel-199430-review-8.json_19,"I tried politely to explain that after 25 years int he hotel industry I knew that they could, in fact, transfer a booking within the hotel if they really wanted to - again, to no avail.",0.0,tried politely to explain that after years int he hotel industry knew that they could in fact transfer booking within the hotel if they really wanted to again to no avail,170,tried politely to explain that after years int he hotel industry knew that they could in fact transfer booking within the hotel if they really wanted to again to no avail,tried politely explain years int hotel industry knew could fact transfer booking within hotel really wanted avail,17
1022,berlin-hotel-199430-review-8.json_20,If you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have a third old building across the street which is a little more convenient than h,,if you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have third old building across the street which is little more convenient than,212,if you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have third old building across the street which is little more convenient than,expect kind service whatsoever go ahead book hotels sure getting also third old building across street little convenient,18
1023,berlin-hotel-199430-review-8.json_21,but as it has lots of stairs,0.0,but as it has lots of stairs,28,but as it has lots of stairs,lots stairs,2
1024,berlin-hotel-199430-review-8.json_22,and no lift it is also below standard.,0.0,and no lift it is also below standard,37,and no lift it is also below standard,lift also standard,3
1025,berlin-hotel-199430-review-8.json_23,We finally accepted our fate and reconciled to spend the night in the cell block.,0.0,we finally accepted our fate and reconciled to spend the night in the cell block,80,we finally accepted our fate and reconciled to spend the night in the cell block,finally accepted fate reconciled spend night cell block,8
1026,berlin-hotel-199430-review-8.json_24,the only saviour was the ARTOTEL across the street which had a nice bar,0.0,the only saviour was the artotel across the street which had nice bar,69,the only saviour was the artotel across the street which had nice bar,saviour artotel across street nice bar,6
1027,berlin-hotel-199430-review-8.json_25,and pleasant staff so they got our business.,0.0,and pleasant staff so they got our business,43,and pleasant staff so they got our business,pleasant staff got business,4
1028,berlin-hotel-199430-review-8.json_26,The shower in the bathroom simply sprayed water everywhere in the APART HOTEL (read falling APART Hotel) causing the bathroom floor to flood and cause a very dangerous health  safety hazardBreakfast in the Mark Hotel ,,the shower in the bathroom simply sprayed water everywhere in the apart hotel read falling apart hotel causing the bathroom floor to flood and cause very dangerous health safety hazardbreakfast in the mark hotel,211,the shower in the bathroom simply sprayed water everywhere in the apart hotel read falling apart hotel causing the bathroom floor to flood and cause very dangerous health safety hazardbreakfast in the mark hotel,shower bathroom simply sprayed water everywhere apart hotel read falling apart hotel causing bathroom floor flood cause dangerous health safety hazardbreakfast mark hotel,23
1029,berlin-hotel-199430-review-8.json_27,A member of our group was sent by reception to two local dry cleaners shops to get an outfit for that evening ironed before sending her to their hotel accross the street where they had a laundry facility all the time t,,member of our group was sent by reception to two local dry cleaners shops to get an outfit for that evening ironed before sending her to their hotel accross the street where they had laundry facility all the time,212,member of our group was sent by reception to two local dry cleaners shops to get an outfit for that evening ironed before sending her to their hotel accross the street where they had laundry facility all the time,member group sent reception two local dry cleaners shops get outfit evening ironed sending hotel accross street laundry facility time,20
1030,berlin-hotel-199430-review-8.json_28,"So, some of the poorest service I have ever experienced, misleading advertising, surly/miserable/rude staff and awful public areas.",0.0,so some of the poorest service have ever experienced misleading advertising surly/miserable/rude staff and awful public areas,125,so some of the poorest service have ever experienced misleading advertising surlymiserablerude staff and awful public areas,poorest service ever experienced misleading advertising surlymiserablerude staff awful public areas,11
1031,berlin-hotel-199430-review-8.json_29,Thank goodness there are plenty of alternative hotels for future visits and for us to recommend to others.,0.0,thank goodness there are plenty of alternative hotels for future visits and for us to recommend to others,105,thank goodness there are plenty of alternative hotels for future visits and for us to recommend to others,thank goodness plenty alternative hotels future visits us recommend others,10
1032,berlin-hotel-199430-review-9.json_0,"Hotel location was good,",0.0,hotel location was good,23,hotel location was good,hotel location good,3
1033,berlin-hotel-199430-review-9.json_1,rooms were clean  the housekeeping staff were lovely.,0.0,rooms were clean the housekeeping staff were lovely,51,rooms were clean the housekeeping staff were lovely,rooms clean housekeeping staff lovely,5
1034,berlin-hotel-199430-review-9.json_2,Room smelt of smoke when 'no smoking' requested.,0.0,room smelt of smoke when no smoking requested,45,room smelt of smoke when no smoking requested,room smelt smoke smoking requested,5
1035,berlin-hotel-199430-review-9.json_3,Room was small - no bath  the shower room was very small with a tiny corner shower.,0.0,room was small no bath the shower room was very small with tiny corner shower,77,room was small no bath the shower room was very small with tiny corner shower,room small bath shower room small tiny corner shower,9
1036,berlin-hotel-199430-review-9.json_4,The Reception staff were aloof  sometimes quite rude.,0.0,the reception staff were aloof sometimes quite rude,51,the reception staff were aloof sometimes quite rude,reception staff aloof sometimes quite rude,6
1037,berlin-hotel-199430-review-9.json_5,Breakfast was very average  waiting staff very average - on the plus side Berlin was amazing the restaurant across the road from the Mark Hotel - The Meineke Restaurant was lovely both food wise  staff wise  there was a,,breakfast was very average waiting staff very average on the plus side berlin was amazing the restaurant across the road from the mark hotel the meineke restaurant was lovely both food wise staff wise there was,210,breakfast was very average waiting staff very average on the plus side berlin was amazing the restaurant across the road from the mark hotel the meineke restaurant was lovely both food wise staff wise there was,breakfast average waiting staff average plus side berlin amazing restaurant across road mark hotel meineke restaurant lovely food wise staff wise,21
1038,berlin-hotel-199430-review-9.json_6,but the late night atmosphere for couples was romantic and welcoming - see as much as you can Berlin it is a lovely city - we will return - different hotel though!,0.0,but the late night atmosphere for couples was romantic and welcoming see as much as you can berlin it is lovely city we will return different hotel though,154,but the late night atmosphere for couples was romantic and welcoming see as much as you can berlin it is lovely city we will return different hotel though,late night atmosphere couples romantic welcoming see much berlin lovely city return different hotel though,15
1039,berlin-hotel-200437-review-1.json_0,unfortunately this hotel is extremely disappointing.,0.0,unfortunately this hotel is extremely disappointing,51,unfortunately this hotel is extremely disappointing,unfortunately hotel extremely disappointing,4
1040,berlin-hotel-200437-review-1.json_1,"the hotel has had a facelift,",0.0,the hotel has had facelift,26,the hotel has had facelift,hotel facelift,2
1041,berlin-hotel-200437-review-1.json_2,but the workings underneath are old.,0.0,but the workings underneath are old,35,but the workings underneath are old,workings underneath old,3
1042,berlin-hotel-200437-review-1.json_3,"for instance, my door didn't even close properly - but after requesting to change rooms i found out none of them do!",0.0,for instance my door didn't even close properly but after requesting to change rooms found out none of them do,110,for instance my door didnt even close properly but after requesting to change rooms found out none of them do,instance door didnt even close properly requesting change rooms found none,11
1043,berlin-hotel-200437-review-1.json_4,all the doors are warped,0.0,all the doors are warped,24,all the doors are warped,doors warped,2
1044,berlin-hotel-200437-review-1.json_5,but instead they spent their renovation money on new bedspreads.,0.0,but instead they spent their renovation money on new bedspreads,63,but instead they spent their renovation money on new bedspreads,instead spent renovation money new bedspreads,6
1045,berlin-hotel-200437-review-1.json_6,it was a sign i should have checked out immediately - at one point there wasn't even hot water in the hotel for over an hour.,0.0,it was sign should have checked out immediately at one point there wasn't even hot water in the hotel for over an hour,118,it was sign should have checked out immediately at one point there wasnt even hot water in the hotel for over an hour,sign checked immediately one point wasnt even hot water hotel hour,11
1046,berlin-hotel-200437-review-1.json_7,staff were less than helpful.,0.0,staff were less than helpful,28,staff were less than helpful,staff less helpful,3
1047,berlin-hotel-200437-review-1.json_8,meanwhile the lovely modern shower fixtures fell off the wall every single morning,0.0,meanwhile the lovely modern shower fixtures fell off the wall every single morning,82,meanwhile the lovely modern shower fixtures fell off the wall every single morning,meanwhile lovely modern shower fixtures fell wall every single morning,10
1048,berlin-hotel-200437-review-1.json_9,while i took my (occasionally cold) shower.,0.0,while took my occasionally cold shower,38,while took my occasionally cold shower,took occasionally cold shower,4
1049,berlin-hotel-200437-review-1.json_10,if you're looking for a high end hotel i suggest you go somewhere else.,1.0,if you're looking for high end hotel suggest you go somewhere else,66,if youre looking for high end hotel suggest you go somewhere else,youre looking high end hotel suggest go somewhere else,9
1050,berlin-hotel-200437-review-2.json_0,This hotel is lovely.,0.0,this hotel is lovely,20,this hotel is lovely,hotel lovely,2
1051,berlin-hotel-200437-review-2.json_1,"However, the maids burst into our room twice on the day we were checking out.",0.0,however the maids burst into our room twice on the day we were checking out,75,however the maids burst into our room twice on the day we were checking out,however maids burst room twice day checking,7
1052,berlin-hotel-200437-review-2.json_2,"The first time before 8:00 a.m., and the second around 9:00 a.m. Upon reporting this to the reception on checking out, the clerk looked at me and said what is your problem?",0.0,the first time before a.m and the second around a.m upon reporting this to the reception on checking out the clerk looked at me and said what is your problem,157,the first time before am and the second around am upon reporting this to the reception on checking out the clerk looked at me and said what is your problem,first time second around upon reporting reception checking clerk looked said problem,12
1053,berlin-hotel-200437-review-2.json_3,This is a five star property!,0.0,this is five star property,26,this is five star property,five star property,3
1054,berlin-hotel-200437-review-2.json_4,The maids shouldn't be anywhere near that room until we have cleared check-out.,0.0,the maids shouldn't be anywhere near that room until we have cleared check-out,78,the maids shouldnt be anywhere near that room until we have cleared checkout,maids shouldnt anywhere near room cleared checkout,7
1055,berlin-hotel-200437-review-2.json_5,"No manners, and I can't recommend this hotel as a great five-star.",0.0,no manners and can't recommend this hotel as great five-star,60,no manners and cant recommend this hotel as great fivestar,manners cant recommend hotel great fivestar,6
1056,berlin-hotel-200437-review-3.json_0,Just returned from a fortnight in Berlin staying at the Steigenberger.,0.0,just returned from fortnight in berlin staying at the steigenberger,67,just returned from fortnight in berlin staying at the steigenberger,returned fortnight berlin staying steigenberger,5
1057,berlin-hotel-200437-review-3.json_1,Lovely hotel.,0.0,lovely hotel,12,lovely hotel,lovely hotel,2
1058,berlin-hotel-200437-review-3.json_2,"well appointed,wonderful breakfast buffet.",0.0,"well appointed,wonderful breakfast buffet",41,well appointedwonderful breakfast buffet,well appointedwonderful breakfast buffet,4
1059,berlin-hotel-200437-review-3.json_3,Staff marvelous and very patient with my bad German though reception staff and many others spoke good English.,0.0,staff marvelous and very patient with my bad german though reception staff and many others spoke good english,109,staff marvelous and very patient with my bad german though reception staff and many others spoke good english,staff marvelous patient bad german though reception staff many others spoke good english,13
1060,berlin-hotel-200437-review-3.json_4,Room very comfortable with climate control.,0.0,room very comfortable with climate control,42,room very comfortable with climate control,room comfortable climate control,4
1061,berlin-hotel-200437-review-3.json_5,Well placed for getting around the city.,0.0,well placed for getting around the city,39,well placed for getting around the city,well placed getting around city,5
1062,berlin-hotel-200437-review-3.json_6,Especially good for shopping on the Kurfustendamm...bring an extra bag!!,1.0,especially good for shopping on the kurfustendamm...bring an extra bag,70,especially good for shopping on the kurfustendammbring an extra bag,especially good shopping kurfustendammbring extra bag,6
1063,berlin-hotel-200437-review-3.json_7,loved it!,0.0,loved it,8,loved it,loved,1
1064,berlin-hotel-200437-review-4.json_0,Had the pleasure of visiting Berlin for a city break in September.,0.0,had the pleasure of visiting berlin for city break in september,63,had the pleasure of visiting berlin for city break in september,pleasure visiting berlin city break september,6
1065,berlin-hotel-200437-review-4.json_1,"1st impression were great of the hotel,",0.0,impression were great of the hotel,34,impression were great of the hotel,impression great hotel,3
1066,berlin-hotel-200437-review-4.json_2,we were really looking forward to staying in a 5 star hotel.,0.0,we were really looking forward to staying in star hotel,55,we were really looking forward to staying in star hotel,really looking forward staying star hotel,6
1067,berlin-hotel-200437-review-4.json_3,Immediately we were meet by the Hotels bell man at the taxi door,0.0,immediately we were meet by the hotels bell man at the taxi door,64,immediately we were meet by the hotels bell man at the taxi door,immediately meet hotels bell man taxi door,7
1068,berlin-hotel-200437-review-4.json_4,and he took our luggage.,0.0,and he took our luggage,23,and he took our luggage,took luggage,2
1069,berlin-hotel-200437-review-4.json_5,"Swift check in, so far so good.",0.0,swift check in so far so good,29,swift check in so far so good,swift check far good,4
1070,berlin-hotel-200437-review-4.json_6,We had looked to pay for an upgraded to the executive floor,0.0,we had looked to pay for an upgraded to the executive floor,59,we had looked to pay for an upgraded to the executive floor,looked pay upgraded executive floor,5
1071,berlin-hotel-200437-review-4.json_7,but they were fully booked.,0.0,but they were fully booked,26,but they were fully booked,fully booked,2
1072,berlin-hotel-200437-review-4.json_8,"In the Bedroom this is were the hotel did not meet my expectations the bedroom we got was definitely not 5 stars, no tea or coffee making facilities in the room, no bath robes or slippers, and for the bathroom, well I'",,in the bedroom this is were the hotel did not meet my expectations the bedroom we got was definitely not stars no tea or coffee making facilities in the room no bath robes or slippers and for the bathroom well,209,in the bedroom this is were the hotel did not meet my expectations the bedroom we got was definitely not stars no tea or coffee making facilities in the room no bath robes or slippers and for the bathroom well,bedroom hotel meet expectations bedroom got definitely stars tea coffee making facilities room bath robes slippers bathroom well,18
1073,berlin-hotel-200437-review-4.json_9,and it was stiflingly hot all the time.,0.0,and it was stiflingly hot all the time,38,and it was stiflingly hot all the time,stiflingly hot time,3
1074,berlin-hotel-200437-review-4.json_10,In there guest information stated that rooms had access to the internet,0.0,in there guest information stated that rooms had access to the internet,71,in there guest information stated that rooms had access to the internet,guest information stated rooms access internet,6
1075,berlin-hotel-200437-review-4.json_11,but seemly our room did not have.,0.0,but seemly our room did not have,32,but seemly our room did not have,seemly room,2
1076,berlin-hotel-200437-review-4.json_12,"I had booked a double room but got two single beds, with a folded duvet resting at the bottom of the bed;",0.0,had booked double room but got two single beds with folded duvet resting at the bottom of the bed,97,had booked double room but got two single beds with folded duvet resting at the bottom of the bed,booked double room got two single beds folded duvet resting bottom bed,12
1077,berlin-hotel-200437-review-4.json_13,it had the look of a Young Hostel.,0.0,it had the look of young hostel,31,it had the look of young hostel,look young hostel,3
1078,berlin-hotel-200437-review-4.json_14,"I do have to mention the staffs were excellent in all departments of the hotel, Very helpful.",0.0,do have to mention the staffs were excellent in all departments of the hotel very helpful,89,do have to mention the staffs were excellent in all departments of the hotel very helpful,mention staffs excellent departments hotel helpful,6
1079,berlin-hotel-200437-review-4.json_15,I would not recommend the restaurant either the food in not good quality,1.0,would not recommend the restaurant either the food in not good quality,70,would not recommend the restaurant either the food in not good quality,would recommend restaurant either food good quality,7
1080,berlin-hotel-200437-review-4.json_16,and service was very slow and offer priced.,0.0,and service was very slow and offer priced,42,and service was very slow and offer priced,service slow offer priced,4
1081,berlin-hotel-200437-review-4.json_17,I do usually stay in 4 star hotel and have stayed in better 4 stars than the  5 star Steigenberger Berlin.,0.0,do usually stay in star hotel and have stayed in better stars than the star steigenberger berlin,96,do usually stay in star hotel and have stayed in better stars than the star steigenberger berlin,usually stay star hotel stayed better stars star steigenberger berlin,10
1082,berlin-hotel-200437-review-5.json_0,I booked online and got a great rate.,0.0,booked online and got great rate,32,booked online and got great rate,booked online got great rate,5
1083,berlin-hotel-200437-review-5.json_1,"Upon check-in, I was shocked at the room we received -- very stripped-down.",0.0,upon check-in was shocked at the room we received very stripped-down,68,upon checkin was shocked at the room we received very strippeddown,upon checkin shocked room received strippeddown,6
1084,berlin-hotel-200437-review-5.json_2,It was like a 3-star hotel -- of the Quality Inn level.,0.0,it was like hotel of the quality inn level,42,it was like hotel of the quality inn level,like hotel quality inn level,5
1085,berlin-hotel-200437-review-5.json_3,No amenities at all...,0.0,no amenities at all,19,no amenities at all,amenities,1
